trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
430,False,"{'a': 0.03, 'e': 0.020858369425214726}",20,3,30.155793758965146,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.03, 'e': 0.020671486335749542}",25,8,29.733465952750286,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.03, 'e': 0.020486277647979705}",30,8,38.91389404680331,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.03, 'e': 0.020302728359900272}",30,12,31.852295882432426,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.03, 'e': 0.020120823603918533}",25,18,13.99452664944716,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.03, 'e': 0.019940548645649803}",25,13,22.936648041479692,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.03, 'e': 0.019761888882723896}",20,0,26.48913002158909,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
437,False,"{'a': 0.03, 'e': 0.01958482984360232}",30,16,26.534362458479258,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.03, 'e': 0.019409357186406122}",25,12,17.983486175908823,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.03, 'e': 0.019235456697754116}",20,0,29.662570472013176,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
440,False,"{'a': 0.03, 'e': 0.019063114291611644}",20,0,35.161924461841124,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
441,False,"{'a': 0.03, 'e': 0.01889231600814957}",30,22,16.60066793123461,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.03, 'e': 0.018723048012613566}",30,14,26.882109784715016,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.03, 'e': 0.018555296594203435}",20,15,10.828649524663632,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.03, 'e': 0.018389048164962573}",20,12,14.917708247374955,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.03, 'e': 0.018224289258677303}",25,0,31.65732014976843,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
446,False,"{'a': 0.03, 'e': 0.01806100652978616}",20,13,9.39100400162906,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.03, 'e': 0.017899186752298794}",25,15,18.08449157830782,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.03, 'e': 0.017738816818724773}",20,0,32.15367141973013,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
449,False,"{'a': 0.03, 'e': 0.017579883739011808}",20,8,20.547773530129923,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.03, 'e': 0.017422374639493515}",25,20,8.676079647556396,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.03, 'e': 0.017266276761846746}",25,17,14.610463119513447,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.03, 'e': 0.01711157746205803}",20,8,18.15579981723505,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.03, 'e': 0.016958264209399526}",30,12,34.07018219253566,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.03, 'e': 0.01680632458541395}",20,14,8.283958091403253,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.03, 'e': 0.016655746282908664}",20,12,16.35963481604771,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.03, 'e': 0.016506517104958845}",25,18,14.819243436823198,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.03, 'e': 0.016358624963919505}",30,7,39.781326451381325,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.03, 'e': 0.016212057880446332}",25,11,25.505125324149976,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.03, 'e': 0.016066803982525454}",20,8,22.082422670475694,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.03, 'e': 0.015922851504511698}",25,16,16.23521287213149,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.03, 'e': 0.015780188786175646}",20,12,16.880558322692526,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.03, 'e': 0.015638804271759132}",25,8,18.98028025368668,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
463,False,"{'a': 0.03, 'e': 0.015498686509039157}",25,11,22.506756088108364,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,False,"{'a': 0.03, 'e': 0.015359824148400357}",25,11,26.141131131908402,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.03, 'e': 0.015222205941915569}",20,0,30.297234953044534,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
466,False,"{'a': 0.03, 'e': 0.01508582074243484}",35,18,32.17663646942341,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.03, 'e': 0.014950657502682459}",20,0,24.69897173154002,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.03, 'e': 0.014816705274362072}",20,9,19.081557292195335,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.03, 'e': 0.014683953207269966}",20,12,16.438162917822538,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.03, 'e': 0.014552390548416136}",20,16,8.674232212278278,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.03, 'e': 0.014422006641153255}",20,0,29.66082719498518,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
472,False,"{'a': 0.03, 'e': 0.014292790924313573}",25,0,35.63374530365363,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
473,False,"{'a': 0.03, 'e': 0.014164732931353353}",25,9,28.82419413691071,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.03, 'e': 0.014037822289505161}",30,18,22.06818989673017,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,False,"{'a': 0.03, 'e': 0.013912048718937631}",25,15,23.777835940363726,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,False,"{'a': 0.03, 'e': 0.013787402031922757}",20,0,34.59146041523889,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
477,False,"{'a': 0.03, 'e': 0.013663872132010762}",25,7,28.508140237049624,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.03, 'e': 0.01354144901321219}",25,14,20.780825722355186,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.03, 'e': 0.013420122759187495}",25,11,25.960255254973173,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.03, 'e': 0.01329988354244378}",20,16,8.597096712537414,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.03, 'e': 0.01318072162353872}",25,14,19.862365419925833,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.03, 'e': 0.013062627350291747}",30,12,34.19240536377724,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.03, 'e': 0.01294559115700217}",25,11,-16.995682901646436,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
484,False,"{'a': 0.03, 'e': 0.01282960356367432}",20,15,10.43970071415162,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.03, 'e': 0.012714655175249742}",25,15,19.899548992412136,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.03, 'e': 0.012600736680846106}",20,16,7.767142338714261,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.03, 'e': 0.01248783885300309}",30,6,37.9986170099103,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.03, 'e': 0.012375952546934922}",20,8,21.60592052020511,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.03, 'e': 0.012265068699789616}",25,11,23.583344217849596,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.03, 'e': 0.012155178329914947}",20,0,27.412267012723756,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
491,False,"{'a': 0.03, 'e': 0.012046272536130852}",30,13,32.419203336055325,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
492,False,"{'a': 0.03, 'e': 0.011938342497008501}",20,14,10.72461360427549,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
493,False,"{'a': 0.03, 'e': 0.011831379470155725}",25,17,11.544963090396454,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
494,False,"{'a': 0.03, 'e': 0.011725374791508845}",30,23,14.44948994114953,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
495,False,"{'a': 0.03, 'e': 0.011620319874630945}",20,10,21.022199964654682,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
496,False,"{'a': 0.03, 'e': 0.011516206210016325}",25,14,20.21985766799563,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
497,False,"{'a': 0.03, 'e': 0.011413025364401209}",25,11,21.29724045725837,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
498,False,"{'a': 0.03, 'e': 0.01131076898008071}",25,12,25.264952576282987,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
499,False,"{'a': 0.03, 'e': 0.011209428774231766}",25,17,15.840392674868149,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
500,False,"{'a': 0.03, 'e': 0.011108996538242306}",25,16,15.978369487808639,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.03, 'e': 0.011009464137046315}",25,13,22.76170102236431,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
502,False,"{'a': 0.03, 'e': 0.010910823508464855}",25,11,27.686464084912927,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,False,"{'a': 0.03, 'e': 0.010813066662553099}",20,15,7.497640842952346,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
